,Posted.On,BHK,Size,Floor,Area.Type,Area.Locality,City,Furnishing.Status,Tenant.Preferred,Bathroom,Point.of.Contact,Rent,Abby,Adamgosmire,Addy,Akin_Mitu,Burkhalter,Daria,DeYoung,Lucas_Nick,Ternes,Trey,Will
379,6/24/2022,3,1550,4 out of 5,Carpet Area,"LB Nagar, NH 9",Hyderabad,Unfurnished,Bachelors,2,Contact Owner,4.414973348,4.43289325,4.604226053,4.297787255,4.282084819,4.303270367,4.275206335,4.291464047,4.277821535,4.293301708,4.305220434,4.346556163
380,5/31/2022,2,845,7 out of 8,Super Area,Vikhroli West,Mumbai,Furnished,Bachelors/Family,2,Contact Owner,4.602059991,4.688185939,4.806179974,4.583759356,4.641672512,4.67382207,4.605538307,4.641665812,4.555434251,4.599296728,4.636855209,4.631829071
381,6/11/2022,4,2500,2 out of 8,Carpet Area,Juhu,Mumbai,Unfurnished,Bachelors/Family,4,Contact Agent,5.397940009,4.671358767,5.564666064,4.976086828,5.325756552,5.451453517,5.494188022,5.275712308,5.567158557,5.27533313,5.285885397,5.048369322
382,7/7/2022,3,1100,18 out of 22,Carpet Area,"Nahar Amrit Shakti powai, Chandivali",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,4.903089987,4.749598345,5.579783597,4.894696676,4.954708266,5.078201091,5.054661123,5.006041351,4.880313388,4.969300425,4.983730057,4.810124113
383,6/17/2022,3,1200,Ground out of 4,Super Area,in Bannerghatta Road,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,4.079181246,4.242740603,4.544068044,4.22630617,4.262553603,4.252873555,4.250440268,4.25310805,4.32364234,4.237593716,4.250889964,4.247231839
384,6/4/2022,3,1300,4 out of 12,Carpet Area,Kalina,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,5.041392685,4.709521849,5.170261715,4.838967633,4.986145432,5.046536786,5.086154987,4.945015235,5.162004273,4.974114149,4.963327805,4.83815542
385,6/8/2022,3,170,4 out of 4,Carpet Area,"Chitra Vihar, Swasthya Vihar",Delhi,Unfurnished,Bachelors/Family,2,Contact Agent,4.544068044,4.326387984,4.176091259,4.169493263,4.353009437,4.311756501,4.303257404,4.313374607,4.502696684,4.31940877,4.332511404,4.239370084
386,5/1/2022,2,1000,1 out of 2,Carpet Area,Kambar Nagar-Kolathur,Chennai,Semi-Furnished,Family,2,Contact Owner,4.021189299,4.199186971,4.361727836,4.126667186,4.164692607,4.150511433,4.164251434,4.113404727,4.146479417,4.102726423,4.126939229,4.195344635
387,5/10/2022,2,800,1 out of 2,Carpet Area,Ramamurthy Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.021189299,4.112747061,4.330413773,4.097251501,4.122746394,4.128541437,4.128359501,4.128119408,4.050184038,4.11744716,4.139525434,4.159570453
388,6/23/2022,2,1000,1 out of 3,Super Area,Varthur,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,4,4.187753244,4.534026106,4.1436345,4.164692607,4.162279885,4.164251434,4.163761873,4.132128349,4.166140343,4.163718173,4.187803599
389,5/31/2022,4,5700,24 out of 25,Carpet Area,whitefield,Bangalore,Semi-Furnished,Bachelors/Family,4,Contact Agent,5.397940009,4.683149945,4.763427994,4.861220224,5.165928227,5.474201914,5.737651539,5.596310515,5.16627417,5.569418178,5.567269697,4.93960755
390,6/15/2022,3,1000,3 out of 4,Carpet Area,Mayur Vihar Phase 1 Extension,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,4.477121255,4.290346336,4.330413773,4.22616245,4.300956752,4.303207634,4.307972686,4.303276384,4.430835319,4.348191501,4.320268653,4.248629066
391,5/19/2022,2,900,Ground out of 2,Super Area,Hebbal Kempapura,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.243038049,4.126812687,4.361727836,4.09685104,4.143719501,4.14535673,4.146194236,4.146339052,4.055874764,4.145830297,4.136281179,4.153823545
392,6/4/2022,2,900,Ground out of 9,Super Area,"IGNOU Road, Saket",Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.311753861,4.22870956,4.330413773,4.1794854,4.224068862,4.255684527,4.237382232,4.223980248,4.324287122,4.234527495,4.234783389,4.153823545
393,5/10/2022,2,700,Ground out of 3,Carpet Area,Santoshpur,Kolkata,Unfurnished,Bachelors,2,Contact Owner,4.146128036,3.940792711,4.322219295,4.085998103,3.941055244,3.996438272,3.947892172,3.961286086,4.059886404,3.946312717,3.964502843,4.116877441
394,6/30/2022,1,700,1 out of 1,Super Area,Nagarbhavi,Bangalore,Unfurnished,Bachelors,1,Contact Owner,4,3.959810787,4,3.874747357,3.895955521,3.935154421,3.905798604,3.930095897,3.884975453,3.938240919,3.932242919,4.239370084
395,7/3/2022,2,550,1 out of 2,Carpet Area,Salt Lake City Sector 5,Kolkata,Furnished,Bachelors/Family,2,Contact Agent,4.113943352,3.972815384,4.301029996,4.299266812,4.196953527,4.199991356,4.147249077,4.214884654,4.05289934,4.237019199,4.204033023,4.364198802
396,7/6/2022,2,1200,36 out of 45,Carpet Area,"Crescent Bay T3, Bhoiwada",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,4.929418926,4.693004471,5.136720567,4.862448892,4.870910724,5.107505781,4.891887351,4.984458419,5.068820974,5.00725184,4.950144253,4.813122652
397,6/23/2022,2,1200,Ground out of 1,Super Area,Shaikpet,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner,4.301029996,4.079436503,4.204119983,4.005319324,4.079554816,4.039723527,4.073229447,4.070206008,3.986068661,4.063374988,4.057892019,4.09308969
398,4/28/2022,1,700,2 out of 4,Super Area,Varthur,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.176091259,3.927475229,4.330413773,4.026357056,4.007511686,4.020592724,4.022992095,4.027216648,4.132802616,4.071621887,4.017986494,4.037969537
399,6/13/2022,2,1050,3 out of 3,Carpet Area,Old Nallakunta,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Agent,4.230448921,4.163418334,4.568201724,4.340256125,4.286597234,4.245517045,4.284558917,4.275606713,4.369532409,4.261312521,4.289809129,4.239370084
400,6/29/2022,3,1000,Ground out of 3,Super Area,E M Bypass,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.079181246,4.231581884,4.278753601,4.186466485,4.136582983,4.136258903,4.122289964,4.126831139,4.211553755,4.150020846,4.125867685,4.246831047
401,6/27/2022,2,700,7 out of 8,Carpet Area,Rajendra Mandal,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,4.255272505,4.014623153,4.322219295,4.167757508,4.009551812,4.033521739,4.031379108,4.029050745,4.079937033,3.98200191,4.04284051,4.123398143
402,4/29/2022,1,225,7 out of 8,Super Area,Kanjurmarg East,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,4,4.241826339,4.301029996,4.144122942,4.241114571,4.064014856,4.151070325,4.246865852,4.183198083,4.239116976,4.232412284,4.082527589
403,6/23/2022,2,700,3 out of 4,Carpet Area,Irla,Mumbai,Furnished,Bachelors,2,Contact Agent,4.77815125,4.70531152,4.875061263,4.685832988,4.776554238,4.777067532,4.778495737,4.780351673,4.636728636,4.793326777,4.784712759,4.691520801
404,4/29/2022,1,500,1 out of 3,Super Area,Chhattarpur,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,3.954242509,3.911485692,3.929418926,3.86951411,3.93435867,3.95209782,3.950950292,3.955916476,3.941699737,3.943424374,3.944058912,3.814769268
405,5/20/2022,2,786,1 out of 3,Super Area,"Villivakkam, Jawaharlal Nehru Road",Chennai,Furnished,Bachelors/Family,2,Contact Owner,4.113943352,4.184354373,4.29666519,4.194346609,4.203528553,4.182425811,4.17793905,4.192510584,4.048518973,4.208023638,4.196531769,4.182551079
406,5/27/2022,2,75,1 out of 1,Carpet Area,Najafgarh,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,3.812913357,4.014261972,3.477121255,3.671679664,4.072564934,3.975165952,3.965387896,3.965250915,4.124783711,3.970907904,3.986728707,4.239370084
407,6/22/2022,3,1600,9 out of 16,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors/Family,3,Contact Agent,5.255272505,4.651914454,5.222716471,4.971899871,5.132783146,5.287166607,5.297279975,5.105954307,5.165789273,5.143005074,5.117443433,4.923640861
408,4/28/2022,1,500,8 out of 10,Super Area,Naigaon East,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,3.77815125,4.339522118,4.838849091,4.350629412,4.391335299,4.331108434,4.346571659,4.410268752,4.479545503,4.46179424,4.396004925,4.416888585
409,5/18/2022,2,950,Ground out of 4,Carpet Area,"East End Apartments, Ph. 1ext near new Ashok nagar",Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.397940009,4.21198112,4.301029996,4.142060066,4.234555416,4.238275055,4.246969798,4.233886871,4.438373558,4.185885277,4.239909662,4.163168679
410,6/25/2022,2,1000,Ground out of 3,Super Area,"Kodalia, Hooghly-Chinsurah",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,3.77815125,4.056659264,4.041392685,4.041642972,3.969112035,3.959850377,3.955556283,3.964710148,4.168678452,3.967414174,3.959042036,4.070798762
411,6/19/2022,2,1200,1 out of 2,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,2,Contact Agent,4.146128036,4.053740364,4.380211242,4.319655329,4.211213508,4.191697059,4.168281428,4.18382001,4.401010269,4.158584429,4.19073559,4.395814784
412,6/16/2022,3,1100,9 out of 20,Carpet Area,"Raheja Vista, Powai",Mumbai,Furnished,Bachelors,3,Contact Agent,4.919078092,4.737572854,5.10720997,4.931182227,5.027917613,5.049584987,5.117045457,5.039860004,4.827708856,5.06840267,5.061444899,4.810124113
413,6/22/2022,2,805,1 out of 2,Super Area,"Urapakkam, Vandalur R.F, GST Road",Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,3.903089987,4.066974963,4.322219295,4.098072837,4.085448231,4.067930485,4.086474299,4.067429345,4.088362306,4.088874819,4.072403043,4.124821272
414,6/23/2022,2,850,5 out of 17,Carpet Area,Oragadam,Chennai,Unfurnished,Bachelors,2,Contact Owner,4.301029996,4.137939377,4.309630167,4.216260797,4.094886129,4.192768024,4.094244031,4.116971264,4.282359221,4.130307834,4.15251315,4.161198001
415,7/4/2022,5,2308,17 out of 31,Carpet Area,"Runwal Elegante, Andheri West",Mumbai,Furnished,Family,5,Contact Agent,5.602059991,4.634071304,5.5774918,5.190763291,5.460624712,5.527291272,5.824711852,5.581376189,5.433158352,5.600908437,5.58496837,5.021677339
416,5/7/2022,3,1100,Ground out of 2,Super Area,Triplicane,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,4.397940009,4.250377401,4.380211242,4.176754312,4.241580496,4.208030085,4.231282646,4.216770958,4.291926182,4.201664638,4.21316409,4.23276672
417,6/25/2022,2,1000,1 out of 2,Super Area,Poonamallee,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.041392685,4.168714358,4.361727836,4.126667186,4.164692607,4.134549583,4.164251434,4.144847618,4.127456911,4.154014897,4.149963919,4.195344635
418,5/14/2022,2,500,1 out of 5,Super Area,Vinod Nagar West,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,3.84509804,4.037796288,3.929418926,3.984705226,4.066967089,4.102924499,4.075551262,4.084574383,3.984733311,4.09552835,4.089142588,4.023034291
419,6/25/2022,1,650,Ground out of 2,Carpet Area,Kambar Colony,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,4.176091259,3.913547357,3.857332496,3.871205617,3.923815786,3.898327582,3.935706713,3.918957886,3.873229925,3.934077167,3.921432827,3.882247588
420,6/6/2022,3,1450,1 out of 5,Carpet Area,"Miyapur, NH 9",Hyderabad,Semi-Furnished,Family,3,Contact Owner,4.255272505,4.310352987,4.982271233,4.323333262,4.372667877,4.387307328,4.34101978,4.312960518,4.312574713,4.355518217,4.329156209,4.394079457
421,7/1/2022,1,435,3 out of 7,Carpet Area,Film City Road,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,4.431363764,4.376762236,4.806179974,4.469797741,4.504648692,4.460644093,4.452738513,4.506268866,4.416140493,4.492253745,4.489311824,4.506536996
422,5/5/2022,3,1400,2 out of 4,Super Area,"Jalahalli, Jalahalli, Outer Ring Road",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,4.380211242,4.419916398,4.653212514,4.316004082,4.416055982,4.407288239,4.376583991,4.403643042,4.303104891,4.409686853,4.407504382,4.394984962
423,5/27/2022,1,600,1 out of 4,Super Area,Madanayakahalli,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,3.653212514,3.931195609,3.973127854,3.906699278,3.874982414,3.8840684,3.890678461,3.887669165,4.006135509,3.881430625,3.884233118,3.827587678
424,7/6/2022,2,1000,1 out of 3,Super Area,Toli Chowki,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,4,4.114008116,4.531478917,4.1436345,4.110817949,4.091819663,4.124620993,4.122837016,4.132128349,4.130942555,4.102957609,4.187803599
425,6/3/2022,2,990,3 out of 3,Super Area,"Somajiguda, NH 9",Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,4.255272505,4.19134668,4.491361694,4.246000892,4.192439033,4.174082459,4.174802403,4.193294664,4.14541269,4.188140328,4.200041546,4.239370084
426,7/6/2022,2,1100,Ground out of 4,Carpet Area,Nandanam Extension,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,4.477121255,4.181881399,4.414973348,4.161385929,4.147318895,4.117853311,4.138185452,4.142923433,4.234993001,4.162170603,4.130310351,4.156814014
427,6/22/2022,2,650,1 out of 2,Carpet Area,Old Washermanpet,Chennai,Unfurnished,Bachelors,2,Contact Owner,4.176091259,4.129390925,4.301029996,4.06987964,4.052939916,4.076602639,4.060026647,4.064192801,4.086326723,4.098153312,4.078818966,4.133152624
428,4/29/2022,2,810,3 out of 3,Super Area,Vikaspuri,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.301029996,4.171763361,4.330413773,4.137092531,4.205193066,4.214687563,4.22028302,4.224577914,4.190648264,4.215373506,4.222619362,4.239370084
429,6/10/2022,1,500,1 out of 2,Super Area,Thirunagar,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,3.544068044,4.000113436,3.799340549,3.852546795,3.892356126,3.873616544,3.912616842,3.891628433,3.9307087,3.89440385,3.894823371,3.899772799
430,7/6/2022,2,950,1 out of 5,Super Area,Masab Tank,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,4.301029996,4.102678793,4.457881897,4.160690463,4.061984578,4.07548452,4.073425797,4.071837214,4.256866187,4.078968534,4.053922285,4.138074136
431,5/23/2022,1,600,1 out of 2,Super Area,Bommanahalli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3.875061263,4.006140332,3.968482949,3.87658116,3.913329233,3.91778712,3.927969097,3.929559155,3.859872283,3.934412391,3.926862714,3.917486027
432,6/6/2022,4,2050,1 out of 3,Super Area,Sainikpuri,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.556302501,4.425640651,4.832508913,4.329636507,4.478368482,4.426221167,4.434503542,4.481990826,4.4485338,4.509687236,4.486521656,4.425258298
433,6/16/2022,1,600,2 out of 4,Super Area,Kalkaji,Delhi,Furnished,Bachelors/Family,1,Contact Owner,4.079181246,4.132186364,3.977723605,3.997117965,4.077396989,4.086216536,4.053900008,4.097141309,4.111035233,4.109395981,4.096137333,3.973636045
434,5/23/2022,1,450,Ground,Carpet Area,"DDA Flat AD Block, Shalimar Bagh AD Block",Delhi,Furnished,Bachelors/Family,1,Contact Owner,4.255272505,4.124926449,3,4.183368945,4.045937329,4.061608895,4.02886276,4.066523866,4.250071085,4.079467893,4.193402708,4.239370084
435,6/22/2022,2,1050,1 out of 3,Super Area,Kovilambakkam,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.176091259,4.183248726,4.447158031,4.150066217,4.175179161,4.143048932,4.173365205,4.153957442,4.153397196,4.177011521,4.158173299,4.196452379
436,5/12/2022,1,850,Ground out of 1,Super Area,Madambakkam,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,4,3.953690717,3.903089987,3.868487593,3.927415181,3.898004435,3.928779116,3.914304011,3.9138074,3.892231015,3.900286345,3.85398772
437,7/9/2022,3,1500,17 out of 42,Carpet Area,"Lodha New Cuffe Parade, Bhakti Park",Mumbai,Unfurnished,Bachelors/Family,4,Contact Agent,5.041392685,4.661391643,5.328379603,4.966857565,5.062954173,5.16227419,5.139396523,5.081737173,5.271796704,5.114737319,5.110093092,4.864486638
438,5/25/2022,2,700,Ground out of 3,Super Area,Ashok Nagar,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.217483944,4.108987572,4.380211242,4.085998103,4.101773287,4.084112277,4.110741816,4.090985513,4.021447263,4.07303705,4.089422121,4.114292137
439,7/9/2022,3,1450,9 out of 10,Carpet Area,Santacruz East,Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent,5.113943352,4.724064265,5.542825427,4.928735745,5.090814439,5.161718561,5.208208245,5.149163063,5.156831371,5.18736671,5.131466557,4.873190922
440,6/18/2022,2,900,2 out of 4,Super Area,"Himayath Nagar, NH 7",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.301029996,4.089737399,4.531478917,4.150859803,4.089844843,4.074896507,4.107048472,4.086956007,4.170390161,4.059627526,4.091603269,4.177825794
441,5/24/2022,2,1000,Ground out of 2,Super Area,"Srinagar, Banashankari",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,4.176091259,4.129519339,4.178976947,4.019366625,4.09148326,4.076048134,4.076837403,4.09723457,3.938823476,4.008847492,4.086169889,4.070798762
442,7/6/2022,2,1150,1 out of 3,Super Area,Bandlaguda Jagir,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,4.146128036,4.27174467,4.591064607,4.244513623,4.225996004,4.201347612,4.204387792,4.236022655,4.225484043,4.242155602,4.214440815,4.242573505
443,6/29/2022,2,600,7 out of 23,Carpet Area,"DB Ozone, Mira Road",Mumbai,Unfurnished,Bachelors,2,Contact Owner,4.230448921,4.460844045,4.892094603,4.49600886,4.468223188,4.426292581,4.425311625,4.493488625,4.337075469,4.540068735,4.530051489,4.424266797
444,5/6/2022,2,60,3 out of 5,Super Area,"Gulmohar Park Colony, Serilingampally",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,3.929418926,3.9708491,4.146128036,3.809318656,4.019811184,3.92997454,3.928995146,3.896902645,4.138738669,3.918039127,3.905038665,3.948083763
445,5/12/2022,1,67,Ground out of 1,Super Area,Jagadgiri Gutta,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner,3.740362689,3.879679674,3.342422681,3.533582849,3.886831957,3.761450345,3.816021106,3.769777461,3.927077026,3.743247181,3.758719079,3.755746413
446,4/29/2022,2,100,3 out of 4,Super Area,Janakpuri,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,4.146128036,4.086134619,3.602059991,3.777802862,4.058796729,3.979093782,3.969352842,3.98600437,4.139219801,3.970516274,3.983965076,3.956850201
447,6/21/2022,3,1700,5 out of 5,Super Area,Kompally,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner,4.397940009,4.403698183,5,4.369785168,4.425100644,4.414848554,4.383073223,4.40708851,4.48151149,4.3860037,4.412972146,4.239370084
448,5/30/2022,1,20,2 out of 3,Super Area,Dakshineswar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,3.698970004,3.688762604,3.301029996,3.455806951,3.805872794,3.674646896,3.704675178,4.195289178,3.860590305,3.633105055,3.657636888,3.738880429
449,5/12/2022,3,3050,Ground out of 2,Super Area,Sainikpuri,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner,4.544068044,4.531807853,5.431363764,4.364642661,4.700023792,4.624756304,4.594562305,4.637511264,4.672943754,4.624316813,4.622100327,4.583731043
450,6/15/2022,1,540,2 out of 4,Carpet Area,Vile Parle East,Mumbai,Semi-Furnished,Family,2,Contact Agent,4.602059991,4.359175921,4.826074803,4.469831024,4.565017272,4.492804848,4.53245953,4.509218818,4.670679965,4.55503243,4.510395582,4.524887546
451,5/23/2022,1,600,2 out of 3,Super Area,Byatarayanapura,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3.740362689,3.997387522,3.966141733,3.904166539,3.913329233,3.91778712,3.927969097,3.93364397,3.907785476,3.938323155,3.933171354,3.931434659
452,6/20/2022,1,450,Ground out of 3,Super Area,Nelamangala,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3.653212514,3.928837068,3.892094603,3.845006996,3.881869573,3.893179479,3.905001339,3.901432873,4.03491419,3.878727315,3.892815386,3.8428671
453,7/8/2022,2,973,4 out of 4,Carpet Area,Padapai,Chennai,Semi-Furnished,Family,2,Contact Owner,4.06069784,4.211134675,4.414973348,4.177067767,4.159029868,4.145932038,4.159353751,4.141689181,4.326508753,4.169949666,4.13825288,4.239370084
454,6/12/2022,2,560,1 out of 2,Carpet Area,Medavakkam,Chennai,Semi-Furnished,Family,2,Contact Owner,4.146128036,4.04513997,4.361727836,4.050233168,4.072410938,4.076907655,4.086431797,4.032441502,4.039205665,4.066738844,4.049222119,4.112346898
455,6/18/2022,6,2800,Ground out of 3,Super Area,"Boduppal, NH 2 2",Hyderabad,Furnished,Bachelors/Family,7,Contact Owner,4.77815125,4.474405798,5.550228353,4.66116796,4.971946494,4.907363341,4.700637231,5.230708595,4.815381364,5.213789065,5.234026098,4.827607532
456,5/16/2022,2,1180,4 out of 5,Super Area,"Miyapur, NH 9",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.176091259,4.184470039,4.568201724,4.208383451,4.148569541,4.148383901,4.156799281,4.146937426,4.172026048,4.192769316,4.150140552,4.237585231
457,4/28/2022,1,400,2 out of 7,Carpet Area,Gunjur,Bangalore,Semi-Furnished,Bachelors,1,Contact Owner,3.84509804,4.006370397,3.903089987,3.885132299,3.871383019,3.945418993,3.89742569,3.930237489,3.827881835,3.983523735,3.935091142,3.928429207
458,7/7/2022,2,650,10 out of 12,Carpet Area,"Keshav Srishti, Bhandup West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,4.556302501,4.612659952,4.838849091,4.656621167,4.682349291,4.685990933,4.687284413,4.710721545,4.503670058,4.677716145,4.692088912,4.641566591
459,5/12/2022,2,1200,2 out of 3,Super Area,BHEL,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.041392685,4.126001917,4.591064607,4.17828693,4.152764163,4.125955279,4.160419202,4.142411743,4.141834506,4.125119829,4.145214318,4.235268384
460,5/14/2022,2,750,5 out of 8,Carpet Area,"Vasant Marvel, Magathane",Mumbai,Semi-Furnished,Family,2,Contact Agent,4.602059991,4.630404163,4.851258349,4.646572662,4.703322397,4.625320122,4.713599997,4.655328147,4.790039341,4.681094793,4.660511312,4.61899747
461,5/27/2022,3,1300,12 out of 24,Carpet Area,"L&T Emerald Isle, Powai",Mumbai,Semi-Furnished,Family,3,Contact Agent,5,4.680942537,5.113943352,4.882358332,4.986145432,4.977725143,5.086154987,4.946250738,4.964375615,4.958484227,4.967376565,4.798048313
462,6/10/2022,1,800,1 out of 4,Carpet Area,"Paryavaran Complex, Sainik Farm",Delhi,Unfurnished,Bachelors,1,Contact Owner,4,3.987335464,4,3.944622692,3.997277989,4.036322974,3.998774362,4.026753543,4.262682527,4.044911187,4.031951971,3.934672135
463,6/10/2022,2,600,1 out of 2,Super Area,"Murad Nagar, Lal Darwaza, Falaknuma Road",Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,4.176091259,4.000671515,3.954242509,3.967954624,3.915369358,3.904858033,3.935821821,3.918998185,3.937742284,3.917219199,3.922035465,4.008563166
464,5/31/2022,2,700,1 out of 2,Carpet Area,Choolaimedu,Chennai,Unfurnished,Bachelors,2,Contact Agent,4.176091259,4.115794753,4.380211242,4.248602632,4.2287192,4.230103761,4.212603572,4.231335866,4.099924089,4.187873841,4.241297877,4.361679078
465,5/25/2022,2,1080,2 out of 3,Super Area,"Habsiguda, NH 2 2",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.079181246,4.11217303,4.531478917,4.164397881,4.127596435,4.105430089,4.138834226,4.120548169,4.190660518,4.104851138,4.124018742,4.216054985
466,6/4/2022,2,800,5 out of 6,Carpet Area,Vile Parle West,Mumbai,Furnished,Family,2,Contact Agent,4.954242509,4.611621612,4.86332286,4.728366499,4.797527345,4.763042957,4.806539404,4.749497318,4.902895841,4.772006481,4.752976726,4.6714615
467,6/15/2022,2,700,15 out of 28,Carpet Area,"Acme Avenue, Kandivali West",Mumbai,Unfurnished,Bachelors,2,Contact Agent,4.51851394,4.608923681,4.84509804,4.703460705,4.654489026,4.685818678,4.637367565,4.701623093,4.724602876,4.744251635,4.720388845,4.626622723
468,5/5/2022,2,1000,Ground out of 4,Super Area,K R Puram,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.079181246,4.129519339,4.557507202,4.148821755,4.164692607,4.162279885,4.164251434,4.16455868,4.189572735,4.163748793,4.15963069,4.172316954
469,6/20/2022,1,200,4 out of 5,Super Area,T Dasarahalli,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,3.653212514,3.832795255,3.792391689,3.79165513,3.82911295,3.845052584,3.83172932,3.826248162,3.796928812,3.805306422,3.827860201,3.798795199
470,5/5/2022,1,700,Ground out of 4,Super Area,"Bikasipura, kanakapura Road",Bangalore,Furnished,Bachelors/Family,1,Contact Owner,3.954242509,4.022024202,3.991226076,4.001511633,4.018020733,4.018320694,3.989283582,4.03363494,3.950904324,4.027572826,4.024804837,3.950937206
471,6/20/2022,2,500,1 out of 3,Super Area,Lajpat Nagar,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.230448921,4.006275647,4.330413773,4.052261037,4.140176436,4.163298148,4.162885276,4.151101682,3.990063439,4.136418265,4.154002627,4.090273345
472,5/20/2022,2,1200,1 out of 3,Super Area,"Hayathnagar, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,3.903089987,4.080473059,4.591064607,4.167668865,4.114417344,4.092236558,4.116730351,4.096436965,4.141834506,4.112224346,4.095165503,4.190569723
473,4/24/2022,3,1000,Ground out of 1,Super Area,Khardah,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,4.079181246,4.1870135,4.361727836,4.126108473,4.098236164,4.102540183,4.079720268,4.093766917,4.193108319,4.059869064,4.07706309,4.217803159
474,6/30/2022,2,650,3 out of 7,Carpet Area,Sindhi Society Chembur,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,4.602059991,4.637812264,4.832508913,4.614115211,4.644002472,4.595308522,4.624825071,4.618491803,4.568140957,4.64191863,4.62633861,4.606362413
475,7/4/2022,2,90,2 out of 4,Super Area,Mansarovar garden,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.255272505,4.223668048,4.230448921,3.847323728,4.175860176,4.097471791,4.090307506,4.10223212,4.280431532,4.102639515,4.08789305,4.001676417
476,6/22/2022,2,700,Ground out of 8,Carpet Area,Santacruz West,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,4.84509804,4.526966051,4.826074803,4.617568871,4.692835844,4.692448098,4.70038241,4.686325906,4.740343905,4.718777348,4.695502898,4.660282878
477,7/7/2022,3,1200,1 out of 2,Super Area,Nagondanahalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.477121255,4.307739885,4.556302501,4.2041516,4.300900421,4.286592275,4.298427416,4.31674421,4.275634571,4.271568705,4.298717622,4.292719564
